,ticker,start_date,end_date,filing_date,fiscal_year,time_frame,source_filing_url
0001090872:2011:FY,A,2010-11-01,2011-10-31,2011-12-16,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-11-010124
0001090872:2012:FY,A,2011-11-01,2012-10-31,2012-12-20,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-12-000018
0001090872:2013:FY,A,2012-11-01,2013-10-31,2013-12-19,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-13-000029
0001090872:2014:FY,A,2013-11-01,2014-10-31,2014-12-22,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-14-000045
0001090872:2015:FY,A,2014-11-01,2015-10-31,2015-12-21,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-15-000051
0001090872:2016:FY,A,2015-11-01,2016-10-31,2016-12-20,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-16-000082
0001090872:2017:FY,A,2016-11-01,2017-10-31,2017-12-21,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-17-000018
0001090872:2018:FY,A,2017-11-01,2018-10-31,2018-12-20,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-18-000019
0001090872:2019:FY,A,2018-11-01,2019-10-31,2019-12-19,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-19-000022
0001090872:2020:FY,A,2019-11-01,2020-10-31,2020-12-18,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-20-000020
0001090872:2021:FY,A,2020-11-01,2021-10-31,2021-12-17,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-21-000027
0001090872:2022:FY,A,2021-11-01,2022-10-31,2022-12-21,2022,annual,https://api.polygon.io/v1/reference/sec/filings/0001090872-22-000026
0000004281:2009:FY,AA,2009-01-01,2009-12-31,2010-02-18,2009,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-10-034308
0000004281:2011:FY,AA,2011-01-01,2011-12-31,2012-02-16,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-12-065493
0000004281:2012:FY,AA,2012-01-01,2012-12-31,2013-02-15,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-13-062916
0000004281:2013:FY,AA,2013-01-01,2013-12-31,2014-02-13,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-14-051516
0000004281:2014:FY,AA,2014-01-01,2014-12-31,2015-02-19,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-15-054376
0000004281:2015:FY,AA,2015-01-01,2015-12-31,2016-02-19,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-16-470162
0001675149:2016:FY,AA,2016-01-01,2016-12-31,2017-03-15,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-17-083862
0001675149:2017:FY,AA,2017-01-01,2017-12-31,2018-02-26,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-18-056314
0001675149:2018:FY,AA,2018-01-01,2018-12-31,2019-02-26,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-19-004171
0001675149:2019:FY,AA,2019-01-01,2019-12-31,2020-02-21,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-20-005759
0001675149:2020:FY,AA,2020-01-01,2020-12-31,2021-02-25,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-21-008854
0001675149:2021:FY,AA,2021-01-01,2021-12-31,2022-02-24,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-006763
0001422142:2021:FY,AADI,2021-01-01,2021-12-31,2022-03-17,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-010721
0000006201:2013:FY,AAL,2013-01-01,2013-12-31,2014-02-28,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0000006201-14-000004
0000006201:2014:FY,AAL,2014-01-01,2014-12-31,2015-02-25,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-15-061145
0000006201:2015:FY,AAL,2015-01-01,2015-12-31,2016-02-24,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-16-474605
0000006201:2016:FY,AAL,2016-01-01,2016-12-31,2017-02-22,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-17-051216
0000006201:2017:FY,AAL,2017-01-01,2017-12-31,2018-02-21,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0000006201-18-000009
0000006201:2018:FY,AAL,2018-01-01,2018-12-31,2019-02-25,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0000006201-19-000009
0000006201:2019:FY,AAL,2019-01-01,2019-12-31,2020-02-19,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0000006201-20-000023
0000006201:2020:FY,AAL,2020-01-01,2020-12-31,2021-02-17,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0000006201-21-000014
0000006201:2021:FY,AAL,2021-01-01,2021-12-31,2022-02-22,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0000006201-22-000026
0000706688:2010:FY,AAN,2010-01-01,2010-12-31,2011-02-25,2010,annual,https://api.polygon.io/v1/reference/sec/filings/0000950123-11-018548
0000706688:2011:FY,AAN,2011-01-01,2011-12-31,2012-02-29,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-12-088733
0000706688:2012:FY,AAN,2012-01-01,2012-12-31,2013-02-22,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-13-071592
0000706688:2013:FY,AAN,2013-01-01,2013-12-31,2014-02-24,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0000706688-14-000015
0000706688:2014:FY,AAN,2014-01-01,2014-12-31,2015-03-02,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0000706688-15-000089
0000706688:2015:FY,AAN,2015-01-01,2015-12-31,2016-02-29,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0000706688-16-000237
0000706688:2016:FY,AAN,2016-01-01,2016-12-31,2017-02-24,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0000706688-17-000030
0000706688:2017:FY,AAN,2017-01-01,2017-12-31,2018-03-01,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0000706688-18-000032
0000706688:2018:FY,AAN,2018-01-01,2018-12-31,2019-02-14,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0000706688-19-000026
0000706688:2019:FY,AAN,2019-01-01,2019-12-31,2020-02-20,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0000706688-20-000012
0001821393:2020:FY,AAN,2020-01-01,2020-12-31,2021-02-23,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0001821393-21-000009
0001821393:2021:FY,AAN,2021-01-01,2021-12-31,2022-02-24,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001821393-22-000014
0000824142:2011:FY,AAON,2011-01-01,2011-12-31,2012-03-14,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001026608-12-000022
0000824142:2012:FY,AAON,2012-01-01,2012-12-31,2013-03-14,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001026608-13-000024
0000824142:2013:FY,AAON,2013-01-01,2013-12-31,2014-03-13,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0000824142-14-000015
0000824142:2014:FY,AAON,2014-01-01,2014-12-31,2015-02-27,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0000824142-15-000014
0000824142:2015:FY,AAON,2015-01-01,2015-12-31,2016-02-25,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0000824142-16-000118
0000824142:2016:FY,AAON,2016-01-01,2016-12-31,2017-02-23,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0000824142-17-000034
0000824142:2017:FY,AAON,2017-01-01,2017-12-31,2018-02-27,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0000824142-18-000021
0000824142:2018:FY,AAON,2018-01-01,2018-12-31,2019-02-28,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0000824142-19-000040
0000824142:2019:FY,AAON,2019-01-01,2019-12-31,2020-02-27,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0000824142-20-000025
0000824142:2020:FY,AAON,2020-01-01,2020-12-31,2021-02-25,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0000824142-21-000030
0000824142:2021:FY,AAON,2021-01-01,2021-12-31,2022-02-28,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0000824142-22-000034
0001158449:2011:FY,AAP,2011-01-02,2011-12-31,2012-02-28,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001158449-12-000029
0001158449:2012:FY,AAP,2012-01-01,2012-12-29,2013-02-25,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001158449-13-000069
0001158449:2014:FY,AAP,2013-12-29,2015-01-03,2015-03-03,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001158449-15-000063
0001158449:2016:FY,AAP,2016-01-03,2016-12-31,2017-02-28,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001158449-17-000034
0001158449:2017:FY,AAP,2017-01-01,2017-12-30,2018-02-21,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0001158449-18-000039
0001158449:2018:FY,AAP,2017-12-31,2018-12-29,2019-02-19,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0001158449-19-000043
0001158449:2019:FY,AAP,2018-12-30,2019-12-28,2020-02-18,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0001158449-20-000035
0001158449:2020:FY,AAP,2019-12-29,2021-01-02,2021-02-22,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0001158449-21-000036
0000320193:2009:FY,AAPL,2008-09-28,2009-09-26,2009-10-27,2009,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-09-214859
0000320193:2010:FY,AAPL,2009-09-27,2010-09-25,2010-10-27,2010,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-10-238044
0000320193:2011:FY,AAPL,2010-09-26,2011-09-24,2011-10-26,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-11-282113
0000320193:2012:FY,AAPL,2011-09-25,2012-09-29,2012-10-31,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-12-444068
0000320193:2013:FY,AAPL,2012-09-30,2013-09-28,2013-10-30,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-13-416534
0000320193:2014:FY,AAPL,2013-09-29,2014-09-27,2014-10-27,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-14-383437
0000320193:2015:FY,AAPL,2014-09-28,2015-09-26,2015-10-28,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-15-356351
0000320193:2016:FY,AAPL,2015-09-27,2016-09-24,2016-10-26,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001628280-16-020309
0000320193:2017:FY,AAPL,2016-09-25,2017-09-30,2017-11-03,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0000320193-17-000070
0000320193:2018:FY,AAPL,2017-10-01,2018-09-29,2018-11-05,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0000320193-18-000145
0000320193:2019:FY,AAPL,2018-09-30,2019-09-28,2019-10-31,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0000320193-19-000119
0000320193:2020:FY,AAPL,2019-09-29,2020-09-26,2020-10-30,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0000320193-20-000096
0000320193:2021:FY,AAPL,2020-09-27,2021-09-25,2021-10-29,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0000320193-21-000105
0000320193:2022:FY,AAPL,2021-09-26,2022-09-24,2022-10-28,2022,annual,https://api.polygon.io/v1/reference/sec/filings/0000320193-22-000108
0001500217:2011:FY,AAT,2011-01-01,2011-12-31,2012-03-09,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-12-106547
0001500217:2012:FY,AAT,2012-01-01,2012-12-31,2013-02-22,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-13-071652
0001500217:2013:FY,AAT,2013-01-01,2013-12-31,2014-02-21,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001500217-14-000020
0001500217:2014:FY,AAT,2014-01-01,2014-12-31,2015-02-20,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001500217-15-000039
0001500217:2015:FY,AAT,2015-01-01,2015-12-31,2016-02-19,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001500217-16-000148
0001500217:2016:FY,AAT,2016-01-01,2016-12-31,2017-02-17,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001500217-17-000006
0001500217:2017:FY,AAT,2017-01-01,2017-12-31,2018-02-16,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0001500217-18-000024
0001500217:2018:FY,AAT,2018-01-01,2018-12-31,2019-02-15,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0001500217-19-000010
0001500217:2019:FY,AAT,2019-01-01,2019-12-31,2020-02-14,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0001500217-20-000010
0001500217:2020:FY,AAT,2020-01-01,2020-12-31,2021-02-16,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0001500217-21-000008
0001500217:2021:FY,AAT,2021-01-01,2021-12-31,2022-02-11,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001500217-22-000011
0001135185:2011:FY,AAWW,2011-01-01,2011-12-31,2012-02-15,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-12-063408
0001135185:2012:FY,AAWW,2012-01-01,2012-12-31,2013-02-13,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-13-054466
0001135185:2013:FY,AAWW,2013-01-01,2013-12-31,2014-02-13,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-14-048729
0001135185:2014:FY,AAWW,2014-01-01,2014-12-31,2015-02-12,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-15-046969
0001135185:2015:FY,AAWW,2015-01-01,2015-12-31,2016-02-18,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-16-468116
0001135185:2016:FY,AAWW,2016-01-01,2016-12-31,2017-02-23,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-17-053796
0001135185:2017:FY,AAWW,2017-01-01,2017-12-31,2018-02-22,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-18-002824
0001135185:2018:FY,AAWW,2018-01-01,2018-12-31,2019-02-19,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-19-003225
0001135185:2019:FY,AAWW,2019-01-01,2019-12-31,2020-02-24,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-20-006046
0001135185:2020:FY,AAWW,2020-01-01,2020-12-31,2021-02-18,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-21-006555
0001135185:2021:FY,AAWW,2021-01-01,2021-12-31,2022-02-17,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-005515
0001551152:2013:FY,ABBV,2013-01-01,2013-12-31,2014-02-21,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-14-001154
0001551152:2014:FY,ABBV,2014-01-01,2014-12-31,2015-02-20,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-15-000995
0001551152:2015:FY,ABBV,2015-01-01,2015-12-31,2016-02-19,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-16-010239
0001551152:2016:FY,ABBV,2016-01-01,2016-12-31,2017-02-17,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001551152-17-000004
0001551152:2017:FY,ABBV,2017-01-01,2017-12-31,2018-02-16,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0001551152-18-000014
0001551152:2018:FY,ABBV,2018-01-01,2018-12-31,2019-02-27,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0001551152-19-000008
0001551152:2019:FY,ABBV,2019-01-01,2019-12-31,2020-02-21,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0001551152-20-000007
0001551152:2020:FY,ABBV,2020-01-01,2020-12-31,2021-02-19,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0001551152-21-000008
0001551152:2021:FY,ABBV,2021-01-01,2021-12-31,2022-02-18,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001551152-22-000007
0001140859:2009:FY,ABC,2008-10-01,2009-09-30,2009-11-25,2009,annual,https://api.polygon.io/v1/reference/sec/filings/0000950123-09-066012
0001140859:2011:FY,ABC,2010-10-01,2011-09-30,2011-11-22,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0000950123-11-100028
0001140859:2012:FY,ABC,2011-10-01,2012-09-30,2012-11-27,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-12-010807
0001140859:2013:FY,ABC,2012-10-01,2013-09-30,2013-11-26,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-13-010867
0001140859:2014:FY,ABC,2013-10-01,2014-09-30,2014-11-25,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-14-009555
0001140859:2015:FY,ABC,2014-10-01,2015-09-30,2015-11-24,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-15-008939
0001140859:2016:FY,ABC,2015-10-01,2016-09-30,2016-11-22,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001140859-16-000022
0001140859:2017:FY,ABC,2016-10-01,2017-09-30,2017-11-21,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0001140859-17-000047
0001140859:2018:FY,ABC,2017-10-01,2018-09-30,2018-11-20,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0001140859-18-000053
0001140859:2019:FY,ABC,2018-10-01,2019-09-30,2019-11-19,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0001140859-19-000040
0001140859:2020:FY,ABC,2019-10-01,2020-09-30,2020-11-19,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0001140859-20-000050
0001140859:2021:FY,ABC,2020-10-01,2021-09-30,2021-11-23,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001140859-21-000058
0001140859:2022:FY,ABC,2021-10-01,2022-09-30,2022-11-22,2022,annual,https://api.polygon.io/v1/reference/sec/filings/0001140859-22-000098
0000351569:2011:FY,ABCB,2011-01-01,2011-12-31,2012-02-27,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-12-081868
0000351569:2012:FY,ABCB,2012-01-01,2012-12-31,2013-03-01,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-13-087270
0000351569:2013:FY,ABCB,2013-01-01,2013-12-31,2014-03-14,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-14-099592
0000351569:2014:FY,ABCB,2014-01-01,2014-12-31,2015-03-16,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-15-092877
0000351569:2015:FY,ABCB,2015-01-01,2015-12-31,2016-02-29,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001144204-16-085023
0000351569:2016:FY,ABCB,2016-01-01,2016-12-31,2017-02-27,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001144204-17-011082
0000351569:2017:FY,ABCB,2017-01-01,2017-12-31,2018-03-01,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0000351569-18-000004
0000351569:2018:FY,ABCB,2018-01-01,2018-12-31,2019-03-01,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0000351569-19-000006
0000351569:2019:FY,ABCB,2019-01-01,2019-12-31,2020-03-09,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0000351569-20-000019
0000351569:2020:FY,ABCB,2020-01-01,2020-12-31,2021-02-26,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0000351569-21-000004
0000351569:2021:FY,ABCB,2021-01-01,2021-12-31,2022-02-28,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0000351569-22-000005
0001703057:2021:FY,ABCL,2021-01-01,2021-12-31,2022-02-25,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-007077
0001144980:2011:FY,ABG,2011-01-01,2011-12-31,2012-02-22,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001144980-12-000031
0001144980:2012:FY,ABG,2012-01-01,2012-12-31,2013-02-21,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001144980-13-000012
0001144980:2013:FY,ABG,2013-01-01,2013-12-31,2014-02-25,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001144980-14-000010
0001144980:2014:FY,ABG,2014-01-01,2014-12-31,2015-02-24,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001144980-15-000058
0001144980:2015:FY,ABG,2015-01-01,2015-12-31,2016-02-19,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001144980-16-000161
0001144980:2016:FY,ABG,2016-01-01,2016-12-31,2017-02-23,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001144980-17-000063
0001144980:2017:FY,ABG,2017-01-01,2017-12-31,2018-02-27,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0001144980-18-000053
0001144980:2018:FY,ABG,2018-01-01,2018-12-31,2019-02-28,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0001144980-19-000053
0001144980:2019:FY,ABG,2019-01-01,2019-12-31,2020-03-02,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0001144980-20-000059
0001144980:2020:FY,ABG,2020-01-01,2020-12-31,2021-03-01,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0001144980-21-000075
0001144980:2021:FY,ABG,2021-01-01,2021-12-31,2022-03-01,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001144980-22-000079
0000771497:2010:FY,ABM,2009-11-01,2010-10-31,2010-12-23,2010,annual,https://api.polygon.io/v1/reference/sec/filings/0000950123-10-116105
0000771497:2011:FY,ABM,2010-11-01,2011-10-31,2011-12-23,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-11-351704
0000771497:2012:FY,ABM,2011-11-01,2012-10-31,2012-12-20,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-12-509900
0000771497:2013:FY,ABM,2012-11-01,2013-10-31,2013-12-18,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-13-477634
0000771497:2014:FY,ABM,2013-11-01,2014-10-31,2014-12-17,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001445305-14-005592
0000771497:2015:FY,ABM,2014-11-01,2015-10-31,2015-12-17,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001628280-15-009602
0000771497:2016:FY,ABM,2015-11-01,2016-10-31,2016-12-21,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001628280-16-022122
0000771497:2017:FY,ABM,2016-11-01,2017-10-31,2017-12-22,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0001628280-17-012508
0000771497:2018:FY,ABM,2017-11-01,2018-10-31,2018-12-21,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0001628280-18-015372
0000771497:2019:FY,ABM,2018-11-01,2019-10-31,2019-12-20,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0001628280-19-015259
0000771497:2020:FY,ABM,2019-11-01,2020-10-31,2020-12-17,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0000771497-20-000018
0000771497:2021:FY,ABM,2020-11-01,2021-10-31,2021-12-22,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0000771497-21-000038
0000771497:2022:FY,ABM,2021-11-01,2022-10-31,2022-12-21,2022,annual,https://api.polygon.io/v1/reference/sec/filings/0000771497-22-000028
0000815094:2012:FY,ABMD,2011-04-01,2012-03-31,2012-06-04,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-12-258595
0000815094:2013:FY,ABMD,2012-04-01,2013-03-31,2013-05-28,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-13-237523
0000815094:2014:FY,ABMD,2013-04-01,2014-03-31,2014-05-28,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-14-214835
0000815094:2015:FY,ABMD,2014-04-01,2015-03-31,2015-05-28,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001193125-15-204302
0000815094:2016:FY,ABMD,2015-04-01,2016-03-31,2016-05-26,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-16-020014
0000815094:2017:FY,ABMD,2016-04-01,2017-03-31,2017-05-25,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-17-011690
0000815094:2018:FY,ABMD,2017-04-01,2018-03-31,2018-05-24,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-18-014310
0000815094:2019:FY,ABMD,2018-04-01,2019-03-31,2019-05-23,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-19-020329
0000815094:2020:FY,ABMD,2019-04-01,2020-03-31,2020-05-21,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-20-026547
0000815094:2021:FY,ABMD,2020-04-01,2021-03-31,2021-05-21,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001564590-21-029314
0000815094:2022:FY,ABMD,2021-04-01,2022-03-31,2022-05-20,2022,annual,https://api.polygon.io/v1/reference/sec/filings/0000950170-22-010402
0001559720:2021:FY,ABNB,2021-01-01,2021-12-31,2022-02-25,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001559720-22-000006
0001253986:2011:FY,ABR,2011-01-01,2011-12-31,2012-03-02,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-12-002036
0001253986:2012:FY,ABR,2012-01-01,2012-12-31,2013-02-15,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-13-001165
0001253986:2013:FY,ABR,2013-01-01,2013-12-31,2014-02-14,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-14-000903
0001253986:2014:FY,ABR,2014-01-01,2014-12-31,2015-02-13,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-15-000780
0001253986:2015:FY,ABR,2015-01-01,2015-12-31,2016-02-26,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-16-010477
0001253986:2016:FY,ABR,2016-01-01,2016-12-31,2017-03-03,2016,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-17-001214
0001253986:2017:FY,ABR,2017-01-01,2017-12-31,2018-02-23,2017,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-18-000985
0001253986:2018:FY,ABR,2018-01-01,2018-12-31,2019-02-15,2018,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-19-000508
0001253986:2019:FY,ABR,2019-01-01,2019-12-31,2020-02-14,2019,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-20-000885
0001253986:2020:FY,ABR,2020-01-01,2020-12-31,2021-02-19,2020,annual,https://api.polygon.io/v1/reference/sec/filings/0001104659-21-025551
0001253986:2021:FY,ABR,2021-01-01,2021-12-31,2022-02-18,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001104659-22-024981
0001672688:2021:FY,ABSI,2021-01-01,2021-12-31,2022-03-22,2021,annual,https://api.polygon.io/v1/reference/sec/filings/0001628280-22-006925
0000001800:2011:FY,ABT,2011-01-01,2011-12-31,2012-02-21,2011,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-12-001216
0000001800:2012:FY,ABT,2012-01-01,2012-12-31,2013-02-15,2012,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-13-001180
0000001800:2013:FY,ABT,2013-01-01,2013-12-31,2014-02-21,2013,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-14-001176
0000001800:2014:FY,ABT,2014-01-01,2014-12-31,2015-02-27,2014,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-15-001377
0000001800:2015:FY,ABT,2015-01-01,2015-12-31,2016-02-19,2015,annual,https://api.polygon.io/v1/reference/sec/filings/0001047469-16-010246
